Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Type_L,Type_M
300.3,310.3,1704,29.5,0,0,True,False
300.3,310.2,1492,52.3,2,0,True,False
300.3,310.2,1442,39.5,4,0,False,True
300.2,310.2,1438,51.5,7,0,False,True
300.1,310.1,1402,46.6,10,0,False,True
300.1,310.1,1684,30.8,13,0,True,False
300.2,310.2,1530,48.5,15,0,True,False
300.1,310.1,1569,43.5,17,0,True,False
300.1,310.1,1650,31.6,19,0,True,False
300.2,310.2,1415,49.6,21,0,True,False
300.2,310.2,1600,31.5,23,0,True,False
300.2,310.1,1523,42.3,25,0,True,False
300.2,310.2,1628,30.3,27,0,False,True
300.2,310.3,1331,52.1,30,0,True,False
300.3,310.3,2158,16.8,32,0,True,False
300.2,310.3,1445,50.9,34,0,True,False
300.2,310.3,1593,36.1,36,0,False,True
300.3,310.4,1672,29.2,39,0,True,False
300.4,310.5,1644,31.4,41,0,False,True
300.4,310.5,1402,54.3,44,0,True,False
300.4,310.4,1286,56.8,46,0,True,False
300.4,310.4,1486,46.3,48,0,True,False
300.3,310.3,1345,46.3,50,0,True,False
300.3,310.3,1629,34.1,52,0,True,False
300.2,310.2,1429,43.8,54,0,False,True
300.1,310.1,1306,64.7,57,0,True,False
300.1,310.1,1380,52.6,59,0,True,False
300.1,310.1,1443,49.3,61,0,False,True
300.1,310.1,1426,42.7,64,0,False,False
300.0,310.0,1486,41.8,69,0,True,False
300.0,309.9,1530,34.5,71,0,False,True
300.0,309.9,1507,41.4,74,0,True,False
300.0,309.9,1608,33.4,76,0,True,False
300.0,309.8,1474,40.6,78,0,True,False
300.0,309.7,1326,61.9,80,0,True,False
299.8,309.6,1434,48.0,82,0,False,True
299.8,309.6,1526,41.7,85,0,True,False
299.8,309.7,1483,39.6,87,0,True,False
299.8,309.7,1457,51.9,89,0,True,False
299.7,309.6,1540,34.4,91,0,False,True
299.8,309.7,1707,29.1,94,0,True,False
299.8,309.7,1624,34.2,96,0,True,False
299.8,309.6,1331,50.2,98,0,False,True
299.8,309.7,1431,40.3,101,0,True,False
299.8,309.7,1705,28.5,103,0,False,True
299.8,309.8,1427,45.2,106,0,False,True
299.9,309.8,1625,41.2,109,0,False,True
299.9,309.8,1477,47.7,112,0,True,False
300.0,309.9,1651,28.1,114,0,False,True
299.9,309.8,1716,28.2,117,0,True,False
299.9,309.8,1400,48.7,119,0,False,False
299.8,309.7,1556,37.7,124,0,False,True
299.8,309.7,1429,42.6,127,0,True,False
299.7,309.6,1433,49.6,129,0,False,False
299.8,309.7,1320,61.7,134,0,False,True
299.8,309.6,1374,51.6,137,0,True,False
299.8,309.6,1598,31.0,139,0,True,False
299.8,309.7,1910,21.8,141,0,False,True
299.7,309.6,1399,51.3,144,0,True,False
299.7,309.6,1720,27.1,146,0,True,False
299.8,309.7,1368,47.4,148,0,False,False
299.8,309.8,1749,33.4,153,0,True,False
299.8,309.8,1542,39.4,155,0,True,False
299.8,309.9,1553,36.6,157,0,True,False
299.9,309.9,1639,42.1,159,0,False,True
299.9,310.0,1447,45.9,162,0,True,False
299.8,310.0,1397,48.1,164,0,False,True
299.8,310.0,1361,53.8,167,0,True,False
299.8,310.0,1460,37.1,169,0,False,True
299.8,310.0,1632,33.7,172,0,False,True
299.8,310.0,1697,36.0,175,0,True,False
299.8,310.1,1553,42.0,177,0,True,False
299.9,310.1,1362,56.3,179,0,False,True
299.9,310.0,1484,42.1,182,0,False,True
299.9,310.1,1447,51.4,185,0,False,False
300.0,310.2,1393,51.2,190,0,False,True
300.0,310.2,1760,26.9,193,0,True,False
300.0,310.1,1477,34.6,195,0,True,False
299.9,310.1,1681,29.1,197,0,True,False
300.0,310.1,1314,53.5,199,0,False,True
300.0,310.1,1762,28.0,202,0,True,False
299.9,310.0,1402,44.7,204,0,True,False
300.1,310.2,1429,42.0,206,0,False,True
300.2,310.3,1448,40.1,209,0,False,True
300.2,310.4,1501,42.9,212,0,False,False
300.3,310.5,1522,39.1,217,0,True,False
300.3,310.4,1493,37.5,219,0,True,False
300.2,310.3,1704,29.4,221,0,False,True
300.2,310.3,1408,42.5,0,0,False,False
300.2,310.4,1518,41.8,5,0,True,False
300.3,310.4,1742,25.9,7,0,True,False
300.4,310.5,1500,43.0,9,0,False,True
300.4,310.5,2424,14.5,12,0,True,False
300.4,310.5,1818,25.1,14,0,True,False
300.4,310.6,1545,35.6,16,0,False,True
300.4,310.6,1429,46.9,19,0,True,False
300.4,310.6,1448,44.9,21,0,False,True
300.4,310.6,1384,48.7,24,0,True,False
300.4,310.5,1578,32.8,26,0,True,False
300.5,310.5,1695,26.7,28,0,True,False
300.5,310.6,1543,36.2,30,0,True,False
300.4,310.5,1540,33.4,32,0,False,True
300.2,310.4,1808,25.8,35,0,True,False
300.3,310.4,1293,49.7,37,0,False,True
300.2,310.3,1202,59.5,40,0,True,False
300.2,310.3,1704,29.2,42,0,False,True
300.2,310.3,1478,38.1,45,0,False,True
300.2,310.3,1514,38.7,48,0,True,False
300.1,310.3,1350,48.8,50,0,False,True
300.1,310.2,1475,54.2,53,0,True,False
300.0,310.1,1714,28.7,55,0,False,False
300.0,310.1,1465,40.9,60,0,True,False
299.9,310.2,1288,69.6,62,1,True,False
300.0,310.2,1675,29.7,64,0,True,False
300.0,310.2,1486,36.4,66,0,True,False
300.0,310.2,1443,58.7,68,0,False,True
300.1,310.3,1345,57.1,71,0,False,True
300.2,310.4,1202,61.7,74,0,False,True
300.1,310.4,1480,37.1,77,0,False,True
300.2,310.4,1530,35.7,80,0,False,True
300.2,310.6,1983,20.8,83,0,False,True
300.3,310.6,1433,53.8,86,0,True,False
300.3,310.6,1806,24.4,88,0,True,False
300.2,310.5,1416,46.7,90,0,True,False
300.1,310.4,1556,38.1,92,0,False,True
300.1,310.5,1627,29.2,95,0,True,False
300.1,310.6,1809,24.3,97,0,True,False
300.1,310.5,1329,57.4,99,0,False,True
300.0,310.4,1881,21.9,102,0,False,False
300.1,310.5,1500,39.8,107,0,True,False
300.1,310.5,1532,36.0,109,0,True,False
300.1,310.5,1492,50.9,111,0,True,False
300.2,310.6,1431,42.3,113,0,True,False
300.1,310.4,1554,39.4,115,0,True,False
300.1,310.5,1494,44.2,117,0,True,False
300.1,310.6,1374,45.4,119,0,True,False
300.1,310.5,1394,44.3,121,0,True,False
300.0,310.5,1790,25.7,123,0,False,True
300.1,310.5,1356,45.8,126,0,True,False
300.0,310.4,1385,52.1,128,0,False,True
300.0,310.4,1333,49.1,131,0,True,False
300.0,310.4,1505,44.9,133,0,True,False
300.0,310.5,1606,33.5,135,0,True,False
300.0,310.5,1558,36.7,137,0,False,False
300.0,310.5,1412,52.4,142,0,True,False
299.9,310.4,1408,38.4,144,0,True,False
299.9,310.3,1268,53.3,146,0,True,False
299.9,310.4,1470,50.0,148,0,True,False
299.9,310.4,1497,47.0,150,0,True,False
299.9,310.3,1638,29.1,152,0,True,False
299.9,310.3,1535,43.9,154,0,False,False
299.8,310.2,1654,32.7,159,0,True,False
299.8,310.2,1411,49.7,161,0,False,False
299.8,310.2,1911,23.5,166,0,True,False
299.8,310.2,1573,33.3,168,0,False,False
299.9,310.2,1479,46.3,173,0,True,False
299.9,310.4,1820,26.6,175,0,False,True
299.9,310.4,1419,45.7,178,0,True,False
299.9,310.5,1335,52.9,180,0,False,True
299.9,310.5,1576,39.4,183,0,False,True
300.0,310.5,1517,42.2,186,0,True,False
299.9,310.4,1576,34.3,188,0,False,True
299.8,310.2,1537,36.6,191,0,False,False
299.8,310.3,1524,34.2,196,0,True,False
299.8,310.3,1805,23.7,198,0,False,True
299.9,310.4,1367,53.3,201,0,False,True
299.8,310.4,1694,30.3,204,0,True,False
299.9,310.4,1328,49.9,206,0,True,False
299.9,310.5,1549,42.8,208,0,False,False
299.9,310.5,1539,32.8,213,0,True,False
299.8,310.5,1496,38.8,215,0,True,False
299.8,310.4,1579,36.4,0,0,True,False
299.7,310.3,1386,46.6,2,0,True,False
299.7,310.3,1505,37.7,4,0,True,False
299.7,310.3,1661,34.5,6,0,False,True
299.6,310.2,1468,48.0,9,0,True,False
299.6,310.1,1384,49.8,11,0,True,False
299.6,310.2,1381,60.5,13,0,True,False
299.6,310.2,1469,47.0,15,0,True,False
299.6,310.2,1627,36.6,17,0,True,False
299.7,310.3,1462,40.4,19,0,False,False
299.7,310.2,1633,36.5,24,0,True,False
299.7,310.2,1469,39.5,26,0,True,False
299.7,310.2,1458,43.4,28,0,True,False
299.7,310.2,1440,42.8,30,0,False,True
299.8,310.3,1687,30.4,33,0,True,False
299.7,310.3,1429,47.7,35,0,False,True
299.6,310.2,1588,34.1,38,0,True,False
299.6,310.2,1333,51.2,40,0,True,False
299.6,310.1,1487,42.9,42,0,True,False
299.5,310.1,1659,31.5,44,0,False,True
299.4,310.0,1512,43.2,47,0,False,True
299.5,310.1,1585,35.2,50,0,True,False
299.5,310.0,1502,38.5,52,0,True,False
299.5,310.0,1594,35.1,54,0,True,False
299.5,310.0,1412,48.9,56,0,True,False
299.5,309.9,1402,51.7,58,0,True,False
299.6,310.1,2057,20.4,60,0,True,False
299.6,310.1,1531,36.8,62,0,False,False
299.5,310.1,1359,61.1,67,0,False,True
299.6,310.2,1620,30.0,70,0,False,True
299.6,310.1,1646,29.6,73,0,False,True
299.6,310.1,1455,46.1,76,0,False,True
299.6,310.2,1512,44.0,79,0,True,False
299.6,310.2,1473,42.7,81,0,True,False
299.6,310.1,1553,38.0,83,0,True,False
299.5,310.0,1379,50.4,85,0,True,False
299.4,309.9,1567,40.6,87,0,False,True
299.5,310.0,1481,43.1,90,0,True,False
299.5,310.0,1349,52.7,92,0,True,False
299.5,310.0,1388,52.4,94,0,True,False
299.6,310.1,1357,48.7,96,0,False,True
299.6,310.2,1743,24.8,99,0,True,False
299.7,310.3,1495,43.1,101,0,True,False
299.8,310.4,1698,28.3,103,0,True,False
299.7,310.4,1410,44.5,105,0,False,True
299.7,310.4,1614,36.2,108,0,True,False
299.8,310.5,1375,53.9,110,0,False,True
299.8,310.6,1574,31.8,113,0,False,True
299.8,310.6,1423,44.6,116,0,False,False
299.8,310.6,1694,31.3,121,0,False,True
299.8,310.6,1707,32.5,124,0,True,False
299.7,310.5,1490,41.2,126,0,False,True
299.7,310.6,1675,31.3,129,0,True,False
299.7,310.5,1492,39.3,131,0,False,True
299.7,310.5,1594,35.4,134,0,False,True
299.7,310.6,1479,38.0,137,0,True,False
299.7,310.6,1572,38.0,139,0,False,True
299.7,310.6,1616,35.1,142,0,True,False
299.7,310.6,1737,26.1,144,0,True,False
299.7,310.7,1498,37.8,146,0,False,True
299.6,310.6,1642,35.1,149,0,True,False
299.6,310.6,1633,34.2,151,0,False,True
299.8,310.8,1409,51.9,154,0,True,False
299.8,310.8,1463,43.5,156,0,False,True
299.8,310.8,1376,48.6,159,0,True,False
299.8,310.8,1553,32.2,161,0,True,False
299.8,310.8,1530,35.2,163,0,False,True
299.8,310.9,1545,40.7,166,0,True,False
299.8,310.9,1427,47.2,168,0,False,False
299.9,310.9,1292,51.1,173,0,True,False
299.8,310.9,2084,17.6,175,0,True,False
299.9,311.0,1747,27.6,177,0,True,False
300.0,311.1,1425,47.8,179,0,True,False
300.0,311.0,1637,33.6,181,0,True,False
300.1,311.1,1616,35.2,183,0,False,True
300.1,311.1,1619,33.4,186,0,True,False
300.1,311.2,1489,39.1,188,0,True,False
300.1,311.2,1452,42.4,190,0,False,True
300.1,311.3,1495,41.0,193,0,False,True
300.2,311.4,1427,39.7,196,0,False,True
300.1,311.4,1572,36.2,199,0,True,False
300.1,311.3,1547,40.0,201,0,True,False
300.1,311.4,1342,48.5,203,0,False,True
300.0,311.2,1351,44.1,206,0,True,False
300.0,311.3,1407,47.3,208,0,True,False
300.1,311.4,1575,29.8,210,0,False,True
300.0,311.4,1791,24.1,213,0,False,True
300.0,311.4,1692,29.0,216,1,False,True
300.0,311.4,1634,31.9,0,0,True,False
300.0,311.4,1864,23.3,2,0,False,True
300.0,311.4,1590,33.6,5,0,True,False
300.0,311.4,1384,46.1,7,0,False,True
300.0,311.4,1352,61.8,10,0,False,True
300.1,311.4,1484,43.1,13,0,True,False
300.1,311.4,1913,21.9,15,0,False,True
300.0,311.4,1508,38.2,18,0,True,False
299.9,311.3,1504,40.7,20,0,True,False
300.0,311.4,1487,41.2,22,0,True,False
299.8,311.3,1727,30.0,24,0,True,False
299.9,311.3,1647,27.5,26,0,True,False
300.0,311.3,1493,41.4,28,0,True,False
300.0,311.4,1655,29.6,30,0,True,False
299.9,311.4,1337,54.8,32,0,False,True
300.0,311.5,1601,36.9,35,0,True,False
300.1,311.6,1589,37.9,37,0,False,False
300.2,311.7,1286,55.1,42,0,True,False
300.2,311.7,1553,41.3,44,0,True,False
300.2,311.8,1379,51.0,46,0,True,False
300.3,311.9,1677,30.8,48,0,False,True
300.3,311.8,1488,38.4,51,0,True,False
300.3,311.8,1418,45.9,53,0,True,False
300.3,311.8,1451,41.0,55,0,True,False
300.3,311.8,1508,43.1,57,0,True,False
300.3,311.7,1579,33.6,59,0,True,False
300.3,311.7,1432,47.7,61,0,False,False
300.2,311.6,1446,47.3,66,0,True,False
300.2,311.7,1597,39.5,68,0,False,True
300.2,311.7,1397,50.2,71,0,False,True
300.1,311.6,1530,36.6,74,0,True,False
300.1,311.6,1433,51.4,76,0,False,True
300.0,311.5,1591,32.0,79,0,True,False
300.0,311.5,1445,41.6,81,0,True,False
300.0,311.5,1749,28.3,83,0,True,False
300.0,311.3,1703,30.4,85,0,True,False
300.1,311.4,1518,46.9,87,0,False,False
300.1,311.3,1535,42.3,92,0,True,False
300.1,311.4,1390,52.1,94,0,False,True
300.3,311.6,1801,23.6,97,0,False,False
300.3,311.6,1463,41.6,102,0,False,False
300.3,311.6,1560,37.7,107,0,True,False
300.3,311.6,1607,33.5,109,0,True,False
300.4,311.6,1332,54.6,111,0,True,False
300.3,311.7,1365,53.3,113,0,True,False
300.3,311.6,1617,32.5,115,0,False,True
300.3,311.6,1304,62.8,118,0,False,True
300.3,311.7,1989,22.3,121,0,True,False
300.3,311.6,1339,53.4,123,0,False,False
300.2,311.5,1492,41.8,128,0,True,False
300.1,311.3,1518,40.2,130,0,False,True
300.1,311.3,1479,39.5,133,0,True,False
300.1,311.3,1523,34.1,135,0,False,True
300.2,311.4,1570,35.3,138,0,False,True
300.2,311.4,1506,36.1,141,0,False,False
300.2,311.6,1510,47.5,146,0,False,True
300.2,311.6,1671,28.8,149,0,True,False
300.3,311.6,1312,53.4,151,0,False,True
300.3,311.6,1595,38.8,154,0,True,False
300.3,311.7,1635,31.8,156,0,True,False
300.3,311.7,1707,33.6,158,0,True,False
300.3,311.7,1545,43.5,160,0,True,False
300.2,311.6,1751,28.0,162,0,False,True
300.4,311.8,1707,30.0,165,0,False,True
300.4,311.8,1320,57.9,168,0,True,False
300.3,311.7,1319,51.4,170,0,False,True
300.2,311.7,1448,54.2,173,0,True,False
300.2,311.8,1436,48.2,175,0,True,False
300.3,311.9,1609,34.0,177,0,True,False
300.2,311.8,1464,44.5,179,0,True,False
300.3,311.8,1483,45.1,181,0,False,True
300.2,311.8,1748,28.5,184,0,False,True
300.3,311.8,1746,26.3,187,0,True,False
300.2,311.8,1410,51.4,189,0,True,False
300.2,311.7,1640,30.8,191,0,True,False
300.3,311.7,1655,29.9,193,0,False,False
300.3,311.7,1646,28.9,198,0,False,True
300.4,311.8,1589,42.0,201,0,True,False
300.5,311.9,1546,39.4,203,0,True,False
300.5,311.9,1511,41.8,205,0,True,False
300.5,311.9,1750,28.3,207,0,True,False
300.5,311.9,1730,27.5,209,0,False,True
300.6,311.9,1372,60.1,212,1,True,False
300.5,311.8,1524,38.9,214,1,True,False
300.4,311.8,1601,36.1,0,0,True,False
300.5,311.8,1636,34.4,2,0,False,True
300.4,311.8,2261,14.9,5,0,True,False
300.4,311.8,1636,32.3,7,0,True,False
300.4,311.9,1335,58.3,9,0,False,True
300.3,311.7,1236,57.5,12,0,False,True
300.3,311.7,1445,47.3,15,0,True,False
300.2,311.5,1500,40.8,17,0,True,False
300.2,311.6,1999,21.0,19,0,True,False
300.2,311.6,1529,35.5,21,0,True,False
300.2,311.6,1467,40.7,23,0,False,True
300.1,311.5,1334,54.0,26,0,True,False
300.1,311.5,1343,46.2,28,0,False,True
300.2,311.5,1639,31.1,31,0,True,False
300.1,311.5,1383,49.1,33,0,False,False
300.1,311.4,1660,31.4,38,0,True,False
300.1,311.3,1470,45.2,40,0,True,False
300.1,311.3,1748,26.6,42,0,False,True
300.1,311.4,1467,35.7,45,0,True,False
300.1,311.4,1617,39.3,47,0,False,True
300.1,311.4,1377,56.7,50,0,False,False
300.0,311.3,1629,32.1,55,0,False,True
300.0,311.2,1504,37.9,58,0,True,False
300.0,311.2,1418,47.3,60,0,True,False
300.0,311.2,1629,31.7,62,0,True,False
300.1,311.3,2579,12.5,64,1,True,False
300.1,311.3,1305,64.7,66,0,True,False
300.2,311.4,1450,38.5,68,0,False,True
300.2,311.3,1487,36.9,71,0,True,False
300.2,311.3,1587,31.2,73,0,False,True
300.3,311.5,1528,40.9,76,0,False,True
300.4,311.6,1401,49.9,79,0,False,True
300.3,311.5,1446,45.0,82,0,True,False
300.2,311.4,1425,44.2,84,0,True,False
300.2,311.4,1891,22.6,86,0,True,False
300.2,311.5,1454,42.8,88,0,False,False
300.1,311.4,1430,40.9,93,0,True,False
300.2,311.4,1495,43.6,95,0,True,False
300.3,311.4,1544,41.6,97,0,True,False
300.3,311.4,1554,34.3,99,0,False,True
300.2,311.3,1491,37.3,102,0,False,True
300.3,311.3,1525,40.7,105,0,True,False
300.3,311.3,1505,39.6,107,0,True,False
300.3,311.4,1371,50.2,109,0,False,True
300.3,311.3,1332,60.5,112,0,True,False
300.3,311.4,1471,37.0,114,0,True,False
300.4,311.5,1750,27.3,116,0,False,True
300.3,311.4,1386,48.1,119,0,False,True
300.4,311.4,1355,56.2,122,0,False,True
300.3,311.3,1377,53.8,125,0,False,True
300.3,311.1,1388,49.4,128,0,True,False
300.3,311.1,1350,58.7,130,0,False,True
300.4,311.2,1831,23.4,133,0,False,True
300.3,311.2,1381,65.2,136,1,False,True
300.3,311.2,1783,25.6,139,0,False,True
300.3,311.0,1613,34.7,142,0,True,False
300.2,311.0,2370,14.7,144,0,False,True
300.2,311.0,1627,33.7,147,0,True,False
300.2,311.0,1255,71.8,149,1,True,False
300.2,311.0,1777,27.5,151,0,False,False
300.3,311.1,1606,30.9,156,0,True,False
300.3,311.1,1676,28.6,158,0,True,False
300.3,311.1,1605,37.1,160,0,True,False
300.4,311.1,1487,37.4,162,0,True,False
300.4,311.2,1471,46.5,164,0,True,False
300.3,311.1,1477,44.2,166,0,False,True
300.4,311.2,1530,32.0,169,0,True,False
300.4,311.2,1673,28.9,171,0,True,False
300.4,311.2,1436,56.8,173,0,True,False
300.4,311.3,1495,51.2,175,0,True,False
300.4,311.2,1366,56.1,177,0,False,True
300.4,311.2,1489,45.3,180,0,False,False
300.3,311.1,1480,46.6,185,0,True,False
300.4,311.2,1472,37.3,187,0,True,False
300.4,311.1,1397,50.8,189,0,True,False
300.4,311.1,1589,35.5,191,0,True,False
300.4,311.1,1405,54.1,193,0,True,False
300.4,311.1,2013,20.1,195,0,True,False
300.4,311.0,1802,26.0,197,0,True,False
300.4,311.0,1433,46.1,199,0,False,True
300.5,311.1,1296,61.3,202,1,False,True
300.5,311.2,1551,36.6,205,0,False,True
300.5,311.2,1270,67.5,208,1,True,False
300.6,311.3,1531,38.5,0,0,True,False
300.5,311.2,1397,45.2,2,0,False,False
300.5,311.1,1547,37.2,7,0,True,False
300.5,311.0,2074,18.9,9,0,True,False
300.5,311.1,1491,42.6,11,0,True,False
300.5,311.0,1759,28.3,13,0,True,False
300.4,311.0,1595,35.4,15,0,False,True
300.4,311.2,1351,62.0,18,0,True,False
300.4,311.2,1705,28.7,20,0,True,False
